,FIPS,Emp,ind_name
592,18085,546.25,hospital
593,18087,,hospital
594,18089,13014.75,hospital
595,18091,,hospital
596,18093,402.5,hospital
597,18095,2254.5,hospital
598,18097,47390.0,hospital
599,18099,457.3333333333333,hospital
600,18103,,hospital
601,18105,2298.75,hospital
602,18107,,hospital
603,18109,,hospital
604,18113,,hospital
605,18117,,hospital
606,18123,,hospital
607,18125,,hospital
608,18127,,hospital
609,18129,,hospital
610,18131,,hospital
611,18133,,hospital
612,18135,,hospital
613,18137,,hospital
614,18139,,hospital
615,18141,5307.25,hospital
616,18143,,hospital
617,18145,,hospital
618,18147,,hospital
619,18149,,hospital
620,18151,,hospital
621,18153,,hospital
622,18157,4733.0,hospital
623,18159,,hospital
624,18163,7989.75,hospital
625,18165,,hospital
626,18167,2563.0,hospital
627,18169,,hospital
628,18171,,hospital
629,18173,900.5,hospital
630,18175,,hospital
631,18177,2715.25,hospital
632,18179,,hospital
633,18181,,hospital
634,18183,,hospital
635,19001,,hospital
636,19003,,hospital
637,19005,,hospital
638,19007,,hospital
639,19009,,hospital
640,19011,,hospital
641,19013,3798.75,hospital
642,19015,,hospital
643,19017,579.5,hospital
644,19019,,hospital
645,19021,,hospital
646,19023,,hospital
647,19025,,hospital
648,19027,,hospital
649,19029,,hospital
650,19033,2655.75,hospital
651,19035,363.25,hospital
652,19037,,hospital
653,19039,,hospital
654,19041,,hospital
655,19043,,hospital
656,19045,870.25,hospital
657,19047,,hospital
658,19049,468.0,hospital
659,19051,,hospital
660,19053,,hospital
661,19055,,hospital
662,19057,,hospital
663,19059,,hospital
664,19061,2472.5,hospital
665,19063,,hospital
666,19065,,hospital
667,19067,,hospital
668,19069,,hospital
669,19071,,hospital
670,19073,,hospital
671,19075,,hospital
672,19077,,hospital
673,19079,,hospital
674,19081,,hospital
675,19083,,hospital
676,19085,,hospital
677,19087,,hospital
678,19089,,hospital
679,19091,,hospital
680,19093,,hospital
681,19095,,hospital
682,19097,,hospital
683,19099,,hospital
684,19101,,hospital
685,19103,12537.5,hospital
686,19105,,hospital
687,19107,,hospital
688,19109,,hospital
689,19111,,hospital
690,19113,4817.25,hospital
691,19117,,hospital
692,19119,,hospital
693,19121,,hospital
694,19123,,hospital
695,19125,,hospital
696,19127,444.25,hospital
697,19129,,hospital
698,19131,,hospital
699,19133,,hospital
700,19135,,hospital
701,19137,,hospital
702,19139,344.0,hospital
703,19141,,hospital
704,19143,,hospital
705,19145,,hospital
706,19147,274.0,hospital
707,19149,,hospital
708,19151,,hospital
709,19153,12793.75,hospital
710,19155,1199.75,hospital
711,19157,,hospital
712,19159,,hospital
713,19161,,hospital
714,19163,3461.5,hospital
715,19165,,hospital
716,19167,954.5,hospital
717,19169,1362.0,hospital
718,19175,,hospital
719,19177,,hospital
720,19179,691.75,hospital
721,19183,,hospital
722,19185,,hospital
723,19187,680.0,hospital
724,19191,,hospital
725,19193,2459.0,hospital
726,19197,503.25,hospital
727,20001,,hospital
728,20003,,hospital
729,20005,,hospital
730,20007,,hospital
731,20009,595.0,hospital
732,20011,468.0,hospital
733,20013,,hospital
734,20015,906.0,hospital
735,20019,,hospital
736,20021,,hospital
737,20023,,hospital
738,20025,,hospital
739,20027,,hospital
740,20031,,hospital
741,20033,,hospital
742,20035,,hospital
743,20037,622.0,hospital
744,20039,,hospital
745,20041,,hospital
746,20045,,hospital
747,20047,,hospital
748,20051,,hospital
749,20053,,hospital
750,20055,,hospital
751,20057,,hospital
752,20059,,hospital
753,20061,,hospital
754,20063,,hospital
755,20065,,hospital
756,20071,,hospital
757,20073,,hospital
758,20075,,hospital
759,20077,,hospital
760,20079,,hospital
761,20081,,hospital
762,20083,,hospital
763,20085,,hospital
764,20087,,hospital
765,20089,,hospital
766,20091,12572.25,hospital
767,20093,,hospital
768,20095,,hospital
769,20097,,hospital
770,20099,1166.25,hospital
771,20101,,hospital
772,20103,386.5,hospital
773,20105,,hospital
774,20109,,hospital
775,20111,,hospital
776,20113,434.0,hospital
777,20115,,hospital
778,20117,,hospital
779,20119,,hospital
780,20121,674.75,hospital
781,20123,,hospital
782,20125,,hospital
783,20127,,hospital
784,20129,,hospital
785,20131,280.5,hospital
786,20133,,hospital
787,20135,,hospital
788,20137,,hospital
789,20141,,hospital
790,20143,,hospital
791,20145,,hospital
792,20147,,hospital
793,20149,386.75,hospital
794,20151,,hospital
795,20153,,hospital
796,20155,,hospital
797,20157,,hospital
798,20159,,hospital
799,20161,525.25,hospital
800,20163,,hospital
801,20165,,hospital
802,20167,,hospital
803,20169,,hospital
804,20171,,hospital
805,20173,7851.5,hospital
806,20175,,hospital
807,20177,7439.0,hospital
808,20179,,hospital
809,20181,,hospital
810,20183,,hospital
811,20185,,hospital
812,20187,,hospital
813,20189,,hospital
814,20191,181.0,hospital
