"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=vvvvvvvvvvvvo&endsec=k&freq=A&start=2001&end=2021&ctype=map&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Wed Feb 15 2023 09:48:21 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Missouri : commercial","cents per kilowatthour","ELEC.PRICE.MO-COM.A",5.89,5.88,5.78,5.80,5.92,6.08,6.34,6.61,6.96,7.50,8.04,8.20,8.80,8.90,9.16,9.26,9.47,9.40,9.07,8.93,9.17
"Nebraska","cents per kilowatthour","ELEC.PRICE.NE-ALL.A",,,,,,,,,,,,,,,,,,,,,
"Nebraska : all sectors","cents per kilowatthour","ELEC.PRICE.NE-ALL.A",5.39,5.55,5.64,5.70,5.87,6.07,6.28,6.58,7.21,7.52,7.88,8.37,8.74,8.84,8.91,9.05,9.08,9.02,9.08,8.97,8.84
"Nebraska : commercial","cents per kilowatthour","ELEC.PRICE.NE-COM.A",5.48,5.62,5.81,5.84,5.98,6.19,6.39,6.68,7.33,7.63,7.99,8.38,8.60,8.73,8.67,8.80,8.85,8.83,8.85,8.89,8.81
"North Dakota","cents per kilowatthour","ELEC.PRICE.ND-ALL.A",,,,,,,,,,,,,,,,,,,,,
"North Dakota : all sectors","cents per kilowatthour","ELEC.PRICE.ND-ALL.A",5.48,5.45,5.47,5.69,5.92,6.21,6.42,6.69,6.63,7.11,7.50,7.83,8.20,8.41,8.75,8.94,8.78,8.91,8.85,8.53,8.65
"North Dakota : commercial","cents per kilowatthour","ELEC.PRICE.ND-COM.A",5.99,5.85,5.64,5.86,6.11,6.30,6.58,6.81,6.81,7.21,7.61,8.02,8.39,8.79,8.83,9.15,9.19,9.10,9.01,9.02,9.17
"South Dakota","cents per kilowatthour","ELEC.PRICE.SD-ALL.A",,,,,,,,,,,,,,,,,,,,,
"South Dakota : all sectors","cents per kilowatthour","ELEC.PRICE.SD-ALL.A",6.35,6.26,6.35,6.44,6.60,6.70,6.89,7.14,7.39,7.82,8.05,8.49,8.86,9.05,9.47,9.83,10.05,9.97,9.96,10.06,10.43
"South Dakota : commercial","cents per kilowatthour","ELEC.PRICE.SD-COM.A",6.55,6.24,6.04,6.18,6.20,6.47,6.61,6.97,7.14,7.55,7.76,8.10,8.51,8.89,9.16,9.58,9.74,9.62,9.59,9.65,10.15
"South Atlantic","cents per kilowatthour","ELEC.PRICE.SAT-ALL.A",,,,,,,,,,,,,,,,,,,,,
"South Atlantic : all sectors","cents per kilowatthour","ELEC.PRICE.SAT-ALL.A",6.68,6.56,6.77,7.05,7.59,8.42,8.68,9.33,9.87,9.61,9.74,9.73,9.75,10.07,9.97,9.79,9.96,9.90,10.02,9.84,10.12
"South Atlantic : commercial","cents per kilowatthour","ELEC.PRICE.SAT-COM.A",6.60,6.45,6.70,6.96,7.49,8.46,8.66,9.31,9.61,9.29,9.46,9.37,9.38,9.68,9.49,9.24,9.39,9.30,9.36,9.05,9.41
"Delaware","cents per kilowatthour","ELEC.PRICE.DE-ALL.A",,,,,,,,,,,,,,,,,,,,,
"Delaware : all sectors","cents per kilowatthour","ELEC.PRICE.DE-ALL.A",6.80,6.91,6.96,7.53,7.76,10.13,11.35,12.38,12.20,11.97,11.48,11.06,10.90,11.22,11.17,11.09,10.90,10.55,10.52,10.24,10.50
"Delaware : commercial","cents per kilowatthour","ELEC.PRICE.DE-COM.A",7.00,7.15,7.31,7.44,7.60,10.21,11.21,12.09,12.03,11.36,10.64,10.13,10.20,10.50,10.25,10.07,9.89,9.65,9.53,9.18,9.48
"District Of Columbia","cents per kilowatthour","ELEC.PRICE.DC-ALL.A",,,,,,,,,,,,,,,,,,,,,
"District Of Columbia : all sectors","cents per kilowatthour","ELEC.PRICE.DC-ALL.A",7.40,7.34,7.40,7.47,9.18,11.08,11.79,13.18,13.23,13.35,12.81,11.85,11.85,12.11,12.07,11.73,11.80,12.03,12.27,11.90,12.81
