"Price"
"https://www.eia.gov/coal/data/browser/#/topic/23?agg=1,0&geo=vvvvvvvvvvvvo&sec=gs&freq=A&start=2015&end=2021&ctype=map&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Tue Feb 14 2023 17:29:19 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2015","2016","2017","2018","2019","2020","2021"
"Commercial and institutional : East South Central","$/short ton","COAL.COST.ESC-8.A","W","W","W","W","W","W","W"
"Commercial and institutional : Alabama","$/short ton","COAL.COST.AL-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Kentucky","$/short ton","COAL.COST.KY-8.A","W","W","W","W","W","W","W"
"Commercial and institutional : Mississippi","$/short ton","COAL.COST.MS-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Tennessee","$/short ton","COAL.COST.TN-8.A","W","--","--","--","--","--","--"
"Commercial and institutional : West South Central","$/short ton","COAL.COST.WSC-8.A","W","--","--","--","--","--","--"
"Commercial and institutional : Arkansas","$/short ton","COAL.COST.AR-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Louisiana","$/short ton","COAL.COST.LA-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Oklahoma","$/short ton","COAL.COST.OK-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Texas","$/short ton","COAL.COST.TX-8.A","W","--","--","--","--","--","--"
"Commercial and institutional : Mountain","$/short ton","COAL.COST.MTN-8.A","W","W","W","W","W","W","W"
"Commercial and institutional : Arizona","$/short ton","COAL.COST.AZ-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Colorado","$/short ton","COAL.COST.CO-8.A","W","W","W","--","--","W","W"
"Commercial and institutional : Idaho","$/short ton","COAL.COST.ID-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Montana","$/short ton","COAL.COST.MT-8.A","W","W","W","W","W","W","W"
"Commercial and institutional : Nevada","$/short ton","COAL.COST.NV-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : New Mexico","$/short ton","COAL.COST.NM-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Utah","$/short ton","COAL.COST.UT-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Wyoming","$/short ton","COAL.COST.WY-8.A","W","W","W","W","W","W","W"
"Commercial and institutional : Pacific Contiguous","$/short ton","COAL.COST.PCC-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : California","$/short ton","COAL.COST.CA-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Oregon","$/short ton","COAL.COST.OR-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Washington","$/short ton","COAL.COST.WA-8.A","--","--","--","--","--","--","--"
"Commercial and institutional : Pacific Noncontiguous","$/short ton","COAL.COST.PCN-8.A",76.54,"W","W","W","W","W","W"
"Commercial and institutional : Alaska","$/short ton","COAL.COST.AK-8.A",76.54,"W","W","W","W","W","W"
"Commercial and institutional : Hawaii","$/short ton","COAL.COST.HI-8.A","--","--","--","--","--","--","--"
"Coke plants","$/short ton","COAL.COST.US-9.A",,,,,,,
"Coke plants : United States","$/short ton","COAL.COST.US-9.A",118.69,102.00,122.14,128.75,145.85,127.16,122.37
"Coke plants : New England","$/short ton","COAL.COST.NEW-9.A","--","--","--","--","--","--","--"
"Coke plants : Connecticut","$/short ton","COAL.COST.CT-9.A","--","--","--","--","--","--","--"
"Coke plants : Maine","$/short ton","COAL.COST.ME-9.A","--","--","--","--","--","--","--"
"Coke plants : Massachusetts","$/short ton","COAL.COST.MA-9.A","--","--","--","--","--","--","--"
"Coke plants : New Hampshire","$/short ton","COAL.COST.NH-9.A","--","--","--","--","--","--","--"
"Coke plants : Rhode Island","$/short ton","COAL.COST.RI-9.A","--","--","--","--","--","--","--"
"Coke plants : Vermont","$/short ton","COAL.COST.VT-9.A","--","--","--","--","--","--","--"
"Coke plants : Middle Atlantic","$/short ton","COAL.COST.MAT-9.A",113.12,103.80,108.61,116.27,"W","W","W"
"Coke plants : New Jersey","$/short ton","COAL.COST.NJ-9.A","--","--","--","--","--","--","--"
"Coke plants : New York","$/short ton","COAL.COST.NY-9.A","W","W","W","W","--","--","--"
"Coke plants : Pennsylvania","$/short ton","COAL.COST.PA-9.A","W","W","W","W","W","W","W"
"Coke plants : East North Central","$/short ton","COAL.COST.ENC-9.A",125.16,104.00,133.27,138.28,156.47,136.37,134.54
"Coke plants : Illinois","$/short ton","COAL.COST.IL-9.A","W","W","W","W","W","W","W"
"Coke plants : Indiana","$/short ton","COAL.COST.IN-9.A",130.64,"W","W","W","W","W","W"
"Coke plants : Michigan","$/short ton","COAL.COST.MI-9.A","W","W","W","W","W","W","W"
"Coke plants : Ohio","$/short ton","COAL.COST.OH-9.A",118.44,102.85,111.54,122.61,144.56,135.47,119.44
"Coke plants : Wisconsin","$/short ton","COAL.COST.WI-9.A","--","--","--","--","--","--","--"
"Coke plants : West North Central","$/short ton","COAL.COST.WNC-9.A","--","--","--","--","--","--","--"
"Coke plants : Iowa","$/short ton","COAL.COST.IA-9.A","--","--","--","--","--","--","--"
"Coke plants : Kansas","$/short ton","COAL.COST.KS-9.A","--","--","--","--","--","--","--"
"Coke plants : Minnesota","$/short ton","COAL.COST.MN-9.A","--","--","--","--","--","--","--"
"Coke plants : Missouri","$/short ton","COAL.COST.MO-9.A","--","--","--","--","--","--","--"
"Coke plants : Nebraska","$/short ton","COAL.COST.NE-9.A","--","--","--","--","--","--","--"
"Coke plants : North Dakota","$/short ton","COAL.COST.ND-9.A","--","--","--","--","--","--","--"
"Coke plants : South Dakota","$/short ton","COAL.COST.SD-9.A","--","--","--","--","--","--","--"
"Coke plants : South Atlantic","$/short ton","COAL.COST.SAT-9.A","W","W","W","W","W","W","W"
"Coke plants : Delaware","$/short ton","COAL.COST.DE-9.A","--","--","--","--","--","--","--"
"Coke plants : District Of Columbia","$/short ton","COAL.COST.DC-9.A","--","--","--","--","--","--","--"
"Coke plants : Florida","$/short ton","COAL.COST.FL-9.A","--","--","--","--","--","--","--"
"Coke plants : Georgia","$/short ton","COAL.COST.GA-9.A","--","--","--","--","--","--","--"
"Coke plants : Maryland","$/short ton","COAL.COST.MD-9.A","--","--","--","--","--","--","--"
"Coke plants : North Carolina","$/short ton","COAL.COST.NC-9.A","--","--","--","--","--","--","--"
