,FIPS,tonCO2e,tonCO2e_ref
2451,08045,433.066836460489,37.61205394094596
2518,08069,151850.63558085845,13188.29754574213
2551,08077,3047.6172184720544,264.68695721286116
2724,09001,1703.6534437737864,147.96308520785146
2745,09003,1032.999240942397,89.71645921639733
2764,09005,1080.2665633004256,93.82164790437125
2781,09007,1022.1920662642716,88.77785112471085
2801,09009,11421.833989481913,991.9915355978043
2820,09011,681.4613775095145,59.18523408314057
2848,09015,681.4613775095145,59.18523408314057
2865,10001,261.8594537328874,22.742614002138186
2882,10003,3501734.08259181,304127.2157382304
2900,10005,261.8594537328874,22.742614002138186
2970,12009,269.4622940828917,23.402924183554834
2990,12011,1184.5804519196531,102.88135711139147
3021,12017,269.4622940828917,23.402924183554834
3030,12019,645.6558637538702,56.07550874428184
3044,12021,1747.0691753731203,151.73376146684677
3083,12031,35335.90457937869,3068.939565897625
3192,12057,238357.3060073525,20701.441662077123
3214,12061,32714.736472499517,2841.289910177055
3266,12071,808.386882248675,70.2087725506645
3361,12086,34731.26794195552,3016.426595827456
3409,12093,269.4622940828917,23.402924183554834
3422,12095,1347.3114704144582,117.01462091777417
3456,12099,275867.6480093549,23959.23211828852
3494,12103,269.4622940828917,23.402924183554834
3514,12105,3805.748558798832,330.5310128319619
3530,12107,269.4622940828917,23.402924183554834
3572,12113,271.8177272287713,23.607494635684567
3662,12129,269.4622940828917,23.402924183554834
3671,12131,271.8177272287713,23.607494635684567
3733,13015,271.8177272287713,23.607494635684567
3765,13021,1761.756995519347,153.00940540238787
3801,13031,271.8177272287713,23.607494635684567
3816,13039,271.8177272287713,23.607494635684567
3828,13045,543.6354544575426,47.214989271369134
3859,13051,4067.149445496236,353.2338000761448
3885,13057,271.8177272287713,23.607494635684567
3901,13059,815.4531816863139,70.82248390705371
3916,13063,1209.645815962599,105.05829550764003
3937,13067,815.4531816863139,70.82248390705371
4033,13087,271.8177272287713,23.607494635684567
4047,13089,1087.270908915085,94.42997854273827
4064,13093,271.8177272287713,23.607494635684567
4085,13097,1087.270908915085,94.42997854273827
4147,13113,2305.392449976889,200.22439467375696
4162,13115,1774.512710398369,154.11724510677698
4180,13117,2025.0989976489127,175.88077941469373
4207,13121,3243.2205387107165,281.67519554571237
4224,13123,543.6354544575426,47.214989271369134
4261,13133,271.8177272287713,23.607494635684567
4276,13135,815.4531816863139,70.82248390705371
4294,13137,274.7339535821857,23.860770235832348
4308,13139,1359.0886361438563,118.03747317842284
4320,13141,271.8177272287713,23.607494635684567
