,FIPS,NERC Region
529,20165,MRO
530,20167,MRO
531,20173,MRO
532,20175,MRO
533,20181,MRO
534,20185,MRO
535,20187,MRO
536,20189,MRO
537,20191,MRO
538,20193,MRO
539,20199,MRO
540,20201,MRO
541,20209,MRO
542,21015,RFC
543,21017,SERC
544,21041,SERC
545,21049,SERC
546,21059,SERC
547,21067,SERC
548,21101,SERC
549,21111,SERC
550,21127,RFC
551,21145,SERC
552,21157,SERC
553,21161,SERC
554,21167,SERC
555,21177,SERC
556,21183,SERC
557,21185,SERC
558,21199,SERC
559,21223,SERC
560,21233,SERC
561,22001,SERC
562,22005,SERC
563,22017,MRO
564,22019,SERC
565,22031,SERC
566,22033,SERC
567,22039,SERC
568,22047,SERC
569,22051,SERC
570,22055,SERC
571,22073,SERC
572,22075,SERC
573,22077,SERC
574,22079,SERC
575,22089,SERC
576,22093,SERC
577,22101,SERC
578,22109,SERC
579,23005,NPCC
580,23007,NPCC
581,23009,NPCC
582,23017,NPCC
583,23019,NPCC
584,23029,NPCC
585,24001,RFC
586,24003,RFC
587,24005,RFC
588,24015,RFC
589,24017,RFC
590,24019,RFC
591,24025,RFC
592,24031,RFC
593,24033,RFC
594,24039,RFC
595,24041,RFC
596,24045,RFC
597,24047,RFC
598,24510,RFC
599,25001,NPCC
600,25003,NPCC
601,25005,NPCC
602,25007,NPCC
603,25009,NPCC
604,25013,NPCC
605,25015,NPCC
606,25017,NPCC
607,25019,NPCC
608,25021,NPCC
609,25023,NPCC
610,25025,NPCC
611,25027,NPCC
612,26001,RFC
613,26005,RFC
614,26007,RFC
615,26013,RFC
616,26017,RFC
617,26023,RFC
618,26025,RFC
619,26029,RFC
620,26031,RFC
621,26033,RFC
622,26039,RFC
623,26041,MRO
624,26045,RFC
625,26049,RFC
626,26057,RFC
627,26059,RFC
628,26061,MRO
629,26063,RFC
630,26065,RFC
631,26075,RFC
632,26077,RFC
633,26079,RFC
634,26081,RFC
635,26091,RFC
636,26093,RFC
637,26095,RFC
638,26099,RFC
639,26101,RFC
640,26103,RFC
641,26105,RFC
642,26111,RFC
643,26113,RFC
644,26115,RFC
645,26117,RFC
646,26119,RFC
647,26125,RFC
648,26133,RFC
649,26137,RFC
650,26139,RFC
651,26147,RFC
652,26149,RFC
653,26153,RFC
654,26157,RFC
655,26159,RFC
656,26161,RFC
657,26163,RFC
658,27005,MRO
659,27007,MRO
660,27009,MRO
661,27013,MRO
662,27015,MRO
663,27017,MRO
664,27019,MRO
665,27025,MRO
666,27027,MRO
667,27031,MRO
668,27033,MRO
669,27037,MRO
670,27041,MRO
671,27043,MRO
672,27045,MRO
673,27049,MRO
674,27053,MRO
675,27059,MRO
676,27061,MRO
677,27063,MRO
678,27065,MRO
679,27067,MRO
680,27079,MRO
681,27083,MRO
682,27085,MRO
683,27091,MRO
684,27093,MRO
685,27095,MRO
686,27099,MRO
687,27105,MRO
688,27107,MRO
689,27109,MRO
690,27111,MRO
691,27113,MRO
692,27115,MRO
693,27119,MRO
694,27123,MRO
695,27127,MRO
696,27129,MRO
697,27131,MRO
698,27133,MRO
699,27137,MRO
700,27139,MRO
701,27141,MRO
702,27145,MRO
703,27147,MRO
704,27151,MRO
705,27161,MRO
706,27163,MRO
707,27165,MRO
708,27169,MRO
709,27171,MRO
710,27173,MRO
711,28007,SERC
712,28009,SERC
713,28019,SERC
714,28027,SERC
715,28033,SERC
716,28047,SERC
717,28049,SERC
718,28059,SERC
719,28065,SERC
720,28067,SERC
721,28069,SERC
722,28075,SERC
723,28087,SERC
724,28107,SERC
725,28129,SERC
726,28149,SERC
727,28151,SERC
728,28163,SERC
729,29007,SERC
730,29013,SERC
731,29019,SERC
732,29021,MRO
733,29023,SERC
734,29027,SERC
735,29031,SERC
736,29037,MRO
737,29041,SERC
738,29045,SERC
739,29051,SERC
740,29069,SERC
