,County,State,FIPS,TotalOil (bbl),TotalGas (mcf),em_gas_county (lbCO2e),em_oil_county (lbCO2e),em_total_county (lbCO2e),annual_avg_emplvl
765,WALKER,TX,48471,91812,1627871,194068757.49730003,85990808.85050751,280059566.3478075,9.75
766,WALLACE,KS,20199,105361.04000000001,0,0,99077634.79123753,99077634.79123753,
767,WALLER,TX,48473,140824,901580,107483031.75400001,135187457.20222577,242670488.95622578,
768,WARD,ND,38101,15451,7843,978013.0806,15330613.513014063,16308626.593564063,244.5
769,WARD,TX,48475,67909561,180050253,21464924977,63603865279.842285,85068790257,235.25
770,WARREN,PA,42123,14.630000060000004,211.33000100000015,25588.407112082725,14136.088578544728,39724.49569062745,103
771,WASHAKIE,WY,56043,346456,908553,113825427.8,334962976.0978735,448788403.8991735,0
772,WASHINGTON,AL,01129,12569,46783,5626411.295,12260117.440961624,17886528.736411624,
773,WASHINGTON,CO,08121,299339,618064,77648647.35,289408993.6446803,367057640.9958803,0
774,WASHINGTON,LA,22117,0,73,8694.27445,0,8694.27445,
775,WASHINGTON,OH,39167,54024.000001771004,3038344.993323055,378523703.6271715,52039621.78688179,430563325.4140533,70.25
776,WASHINGTON,OK,40147,176070,632438,76060883.37370001,165569732.01567858,241630615.3893786,2542.5
777,WASHINGTON,PA,42125,355.23,1195490056,144753163744.3007,343237.3701409569,144753506981.67084,1517.5
778,WASHINGTON,TX,48477,2678027,59439871,7086201493.097301,2508231035.7414947,9594432528.838795,28.75
779,WASHITA,OK,40149,308303,26247108,3156638628,289916766.56801134,3446555394.362211,
780,WASHTENAW,MI,26161,106764,0,0,102842406.71317402,102842406.71317402,
781,WAYNE,MI,26163,47566,26549,3279660.36,45818833.293234006,49098493.65338401,
782,WAYNE,OH,39169,127351,1068102.999639171,133066621.52164714,122673216.97546917,255739838.49711633,37.75
783,WAYNE,WV,54099,10974,2428158,307886913.6,10603515.750153031,318490429.3,
784,WEBSTER,LA,22119,1495520.25,98958941.99994001,11785975356.563154,1458767912.8878477,13244743269.451002,41.25
785,WEBSTER,WV,54101,0,4737,600644.7314,0,600644.7314,
786,WELD,CO,08123,146337736,1021046721,128276192705.00806,141483257804.69937,269759450509.70743,1432.5
787,WEST BATON ROUGE,LA,22121,136223,1571345,187146639.5,131681204.35904758,318827843.88829756,
788,WEST FELICIANA,LA,22125,11291,6821,812378.7126500001,10914548.045616426,11726926.758266427,
789,WESTMORELAND,PA,42129,4.440891999999999e-16,57866872.19,7006677125.320053,4.2909666727472737e-13,7006677125.320053,59.25
790,WESTON,WY,56045,458756,1079767,135275477.3,443537635.5518625,578813112.8225625,14.75
791,WETZEL,WV,54103,567926,196934780,24971044549,548752714.2264817,25519797262.795483,80
792,WEXFORD,MI,26165,506,0,0,487413.9016603542,487413.9016603542,0
793,WHARTON,TX,48481,1340316,9051236,1079054866,1286669260.1222694,2365724126.4690695,30.75
794,WHEELER,TX,48483,2523471,76036991,9064848730.153301,2363474408.5827456,11428323138.736046,23
795,WHITE,AR,05145,0,51979027,6172493862.541901,0,6172493862.541901,
796,WIBAUX,MT,30109,327782,194632,24338498.04,316908450.80273736,341246948.84433734,0
797,WICHITA,KS,20203,162476.94,18615,2243097.262,152787319.9,155030417.16024202,
798,WICHITA,TX,48485,1414883,356426,42491788.94,1325174635.111234,1367666424.055034,332.25
799,WILBARGER,TX,48487,745329,288573,34402605.34,698072621.9855783,732475227.3254783,17.75
800,WILLACY,TX,48489,242846,3017741,359763916.4,233125981.59214142,592889897.9704415,
801,WILLIAMS,ND,38105,67918545,176838732,22051586516,67389357567,89440944082.43991,795
802,WILLIAMSON,TX,48491,15359,0,0,14385187.482409105,14385187.482409105,
803,WILSON,KS,20205,188570.75999999998,3921274,472511360.3,177324985.51253957,649836345.8118396,12
804,WILSON,TX,48493,2125501,1117400,133212293.6,1990737051.8294184,2123949345.4494185,2.5
805,WINKLER,TX,48495,26022895,67272177,8019940035,24372955492.54812,32392895527.43322,228
806,WINN,LA,22127,207610.4117,0,0,202508396.00671437,202508396.00671437,
807,WIRT,WV,54105,8880,263641,33429296.52,8580209.573661283,42009506.09421128,3.5
808,WISE,TX,48497,453470,163715312,19517533750,424718469.1482556,19942252219.133854,167
809,WISE,VA,51195,0,304156,37218307.47,0,37218307.47,
810,WOOD,OH,39173,66.9999997,0,0,64538.99459490032,64538.99459490032,
811,WOOD,TX,48499,3613924,58797331,7009600252,3384789002.355482,10394389254.050781,68
812,WOOD,WV,54107,6556,112667,14286012.23,6334668.239293172,20620680.472143173,12.5
813,WOODS,OK,40151,1620459,21201427.72,2549814086.387678,1523819857.854231,4073633944.241909,199
814,WOODSON,KS,20207,1168277.88,608,73263.6656,1098605415.5247633,1098678679.1903634,41.5
815,WOODWARD,OK,40153,149611,7809411,939207794.7,140688664.6027017,1079896459.3403518,44.75
816,WYANDOT,OH,39175,431,0,0,415168.7581336218,415168.7581336218,
817,WYOMING,PA,42131,0,340781767.1,41262776465.185036,0,41262776465.185036,
818,WYOMING,WV,54109,4,4920901,623963111.4935501,3864.959267414992,623966976.4528174,278
819,YELL,AR,05149,0,888503,105509464.7,0,105509464.7,
820,YELLOWSTONE,MT,30111,6964,98,12254.7824,6732982.443789661,6745237.226189661,83.5
821,YOAKUM,TX,48501,32310831,43840673,5226522824.5699005,30262215095.216885,35488737919.78679,265.25
822,YOUNG,TX,48503,875502,1894864,225898675.1,819992213.7654885,1045890888.8486885,214.25
823,YUMA,CO,08125,0,14369907,1805320875,0,1805320875,44.25
824,ZAVALA,TX,48507,8298601,6842422,815728233.9,7772441645,8588169879,
