,FIPS,MSA,unemp_qual_status_21,ffe_qual_status_21,ec_ffe_status_21,unemp_qual_status_22,ffe_qual_status_22,ec_ffe_status_22
2184,39131,3900004,1.0,1.0,1.0,1.0,1.0,1.0
2185,39133,10420,0.0,0.0,0.0,1.0,0.0,0.0
2187,39135,3900001,0.0,1.0,0.0,0.0,1.0,0.0
2188,39137,3900001,0.0,1.0,0.0,0.0,1.0,0.0
2189,39139,31900,1.0,1.0,1.0,1.0,1.0,1.0
2190,39141,3900004,1.0,1.0,1.0,1.0,1.0,1.0
2191,39143,3900002,0.0,1.0,0.0,1.0,1.0,1.0
2192,39145,3900004,1.0,1.0,1.0,1.0,1.0,1.0
2193,39147,3900002,0.0,1.0,0.0,1.0,1.0,1.0
2194,39149,3900001,0.0,1.0,0.0,0.0,1.0,0.0
2195,39151,15940,0.0,1.0,0.0,1.0,1.0,1.0
2196,39153,10420,0.0,0.0,0.0,1.0,0.0,0.0
2197,39155,49660,1.0,1.0,1.0,1.0,1.0,1.0
2198,39157,3900003,1.0,1.0,1.0,1.0,1.0,1.0
2199,39159,18140,0.0,0.0,0.0,0.0,0.0,0.0
2200,39161,3900001,0.0,1.0,0.0,0.0,1.0,0.0
2201,39163,3900004,1.0,1.0,1.0,1.0,1.0,1.0
2202,39165,17140,0.0,0.0,0.0,0.0,0.0,0.0
2203,39167,3900003,1.0,1.0,1.0,1.0,1.0,1.0
2204,39169,3900002,0.0,1.0,0.0,1.0,1.0,1.0
2205,39171,3900001,0.0,1.0,0.0,0.0,1.0,0.0
2206,39173,45780,1.0,1.0,1.0,1.0,1.0,1.0
2207,39175,3900002,0.0,1.0,0.0,1.0,1.0,1.0
2208,40001,4000001,0.0,1.0,0.0,0.0,1.0,0.0
2209,40003,4000002,0.0,1.0,0.0,0.0,1.0,0.0
2210,40005,4000004,0.0,1.0,0.0,0.0,1.0,0.0
2211,40007,4000002,0.0,1.0,0.0,0.0,1.0,0.0
2212,40009,4000003,0.0,1.0,0.0,0.0,1.0,0.0
2214,40011,4000002,0.0,1.0,0.0,0.0,1.0,0.0
2215,40013,4000004,0.0,1.0,0.0,0.0,1.0,0.0
2216,40015,4000003,0.0,1.0,0.0,0.0,1.0,0.0
2217,40017,36420,0.0,1.0,0.0,0.0,1.0,0.0
2218,40019,4000004,0.0,1.0,0.0,0.0,1.0,0.0
2219,40021,4000001,0.0,1.0,0.0,0.0,1.0,0.0
2220,40023,4000004,0.0,1.0,0.0,0.0,1.0,0.0
2221,40025,4000002,0.0,1.0,0.0,0.0,1.0,0.0
2222,40027,36420,0.0,1.0,0.0,0.0,1.0,0.0
2223,40029,4000004,0.0,1.0,0.0,0.0,1.0,0.0
2224,40031,30020,0.0,0.0,0.0,0.0,0.0,0.0
2225,40033,30020,0.0,0.0,0.0,0.0,0.0,0.0
2226,40035,4000001,0.0,1.0,0.0,0.0,1.0,0.0
2227,40037,46140,0.0,1.0,0.0,0.0,1.0,0.0
2228,40039,4000003,0.0,1.0,0.0,0.0,1.0,0.0
2229,40041,4000001,0.0,1.0,0.0,0.0,1.0,0.0
2230,40043,4000002,0.0,1.0,0.0,0.0,1.0,0.0
2231,40045,4000002,0.0,1.0,0.0,0.0,1.0,0.0
2232,40047,21420,0.0,1.0,0.0,0.0,1.0,0.0
2233,40049,4000004,0.0,1.0,0.0,0.0,1.0,0.0
2234,40051,36420,0.0,1.0,0.0,0.0,1.0,0.0
2235,40053,4000002,0.0,1.0,0.0,0.0,1.0,0.0
